claim_id,source_id,intervention,outcome,effect,tier,score,evidence_weight,summary,review_status,review_issue_type,review_notes
pmid_40961414::C1,pmid_40961414,short-chain fatty acid supplementation,neurologic injury after traumatic brain injury,decrease,supporting,23,4.6,Short-chain fatty acid supplementation after traumatic brain injury attenuates neurologic injury via the gut-brain-microglia axis.,,,
pmid_41279475::C1,pmid_41279475,butyrate treatment,amyloid-beta uptake and accumulation,decrease,supporting,23,4.7,Butyrate decreases uptake and accumulation of Aβ42 in endothelial cells and restores key blood-brain barrier functions under amyloid stress.,,,
pmid_31835282::C1,pmid_31835282,clostridium butyricum treatment,cognitive function,increase,supporting,22,4.5,"Clostridium butyricum treatment decreased microglial activation in APP/PS1 Alzheimer mice, consistent with reduced neuroinflammation through a butyrate-mediated gut-brain mechanism.",,,
pmid_37318680::C1,pmid_37318680,sodium butyrate,infarct volume,decrease,supporting,22,5.4,Sodium butyrate reduced infarct volume in a diabetic-stroke mouse model.,,,
pmid_41366428::C1,pmid_41366428,diet engineered to increase microbial production of acetate and butyrate,long-term neurologic impairment after traumatic brain injury,decrease,supporting,22,4.5,A diet engineered to increase microbial production of acetate and butyrate attenuates long-term neurologic impairment after traumatic brain injury.,,,
pmid_41786890::C1,pmid_41786890,butyrate,amyloid-beta pathology,decrease,supporting,22,4.5,Butyrate prevents gut-brain amyloid-β pathology and neuroinflammation in an Alzheimer mouse model.,,,
pmid_31835282::C3,pmid_31835282,butyrate,nf-κb p65 phosphorylation,decrease,supporting,21,2.5,"Butyrate pretreatment reduced NF-κB p65 phosphorylation in BV2 microglia, indicating suppression of inflammatory signaling.",,,
pmid_39962509::C1,pmid_39962509,sodium butyrate,neurological scores,increase,supporting,21,4.2,Sodium butyrate improved neurological scores in cardiac arrest mice.,,,
pmid_39962509::C3,pmid_39962509,sodium butyrate,tlr4/myd88/nf-κb pathway activity,decrease,supporting,21,4.5,"Sodium butyrate inhibited the TLR4/MyD88/NF-κB pathway, contributing to reduced neuroinflammation.",,,
pmid_35917736::C1,pmid_35917736,sodium butyrate,hypothalamic microgliosis and inflammatory cytokine expression,decrease,biomarker,19,5.6,Oral sodium butyrate reduces overnutrition-induced hypothalamic microgliosis and inflammatory cytokine expression in high-fat-diet mice.,,,
